time	high_ci_0.05	low_ci_0.05	mean
73.92	41.914482300479484	35.68551769952051	38.8
74.4	42.24037034920393	35.75962965079607	39.0
76.19	42.23315017762062	36.16684982237938	39.2
77.9	42.686335345031	36.113664654969	39.4
81.48	43.035112807463534	36.16488719253647	39.6
83.37	42.914482300479484	36.68551769952051	39.8
84.64	43.24037034920393	36.75962965079607	40.0
86.46	43.14957624075053	37.25042375924948	40.2
87.78	43.10185121722126	37.69814878277874	40.4
88.83	43.480972058177585	37.71902794182242	40.6
90.27	43.48328157299974	38.11671842700025	40.8
90.32	43.34520787991171	38.65479212008829	41.0
90.7	43.249390153191925	39.15060984680808	41.2
92.19	43.21659021245849	39.583409787541505	41.4
94.96	43.67364413533277	39.52635586466723	41.6
99.55	44.08035085019827	39.51964914980172	41.8
101.4	44.121320343559645	39.878679656440355	42.0
102.13	43.988854381999836	40.41114561800017	42.2
106.01	44.47364413533277	40.32635586466723	42.4
117.32	44.67364413533277	40.52635586466723	42.6
119.66	44.72353840616713	40.876461593832865	42.8
133.77	45.236067977499786	40.763932022500214	43.0
142.89	45.78843582110896	40.611564178891044	43.2
149.43	46.00768096208106	40.792319037918936	43.4
168.63	46.10998007960223	41.09001992039777	43.6
172.91	46.66356421265527	40.93643578734473	43.8
177.22	46.91547594742265	41.08452405257735	44.0
180.01	47.14957624075053	41.25042375924948	44.2
193.31	47.44959013639538	41.35040986360462	44.4
194.16	47.809361307176246	41.39063869282376	44.6
194.27	47.914482300479484	41.68551769952051	44.8
220.53	48.39116499156263	41.60883500843737	45.0
222.15	48.620526275297415	41.77947372470259	45.2
227.5	48.90713558335003	41.892864416649964	45.4
245.26	49.246916505762094	41.95308349423791	45.6
268.5	49.36370593624109	42.236294063758905	45.8
280.81	49.807886552931954	42.192113447068046	46.0
281.78	49.620526275297415	42.77947372470259	46.2
283.27	49.76154726279432	43.038452737205674	46.4
288.48	49.961547262794326	43.23845273720568	46.6
298.93	50.2205262752974	43.379473724702585	46.8
325.39	50.0	44.0	47.0
332.93	49.78843582110896	44.611564178891044	47.2
351.39	50.00768096208106	44.792319037918936	47.4
353.94	50.30185121722126	44.89814878277874	47.6
359.22	50.574887385102315	45.02511261489767	47.8
365.22	50.91547594742265	45.08452405257735	48.0
383.12	51.31448230047949	45.085517699520516	48.2
405.49	51.10185121722126	45.69814878277874	48.4
415.4	50.90217288664427	46.29782711335574	48.6
426.29	51.08035085019827	46.51964914980172	48.8
440.41	50.87082869338697	47.12917130661303	49.0
458.16	51.123538406167135	47.27646159383287	49.2
461.27	51.473644135332776	47.32635586466723	49.4
472.26	51.90217288664427	47.29782711335574	49.6
476.66	52.28997991959774	47.31002008040225	49.8
542.59	52.73861278752583	47.26138721247417	50.0
558.88	52.58746727726267	47.81253272273734	50.2
579.29	52.70217288664426	48.097827113355734	50.4
597.91	52.54935886896179	48.650641131038206	50.6
627.26	52.96794833886788	48.63205166113212	50.8
644.54	53.12132034355964	48.878679656440355	51.0
647.44	53.36794833886789	49.03205166113212	51.2
715.79	53.21659021245849	49.583409787541505	51.4
740.93	53.67364413533278	49.52635586466723	51.6
780.16	53.58885438199983	50.011145618000164	51.800000000000004
798.06	53.5811388300842	50.41886116991581	52.0
828.83	53.503840481040534	50.89615951895947	52.2
993.96	54.07332005306815	50.72667994693184	52.400000000000006
1049.98	54.116575088810315	51.08342491118969	52.6
1221.02	54.28323969741913	51.31676030258087	52.800000000000004
1420.36	54.224744871391586	51.77525512860841	53.0
1441.71	54.503840481040534	51.89615951895947	53.2
1512.26	54.91657508881032	51.88342491118969	53.400000000000006
